date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2025-09-19,polymarket,0.145,2748.06,2284.55156578628,2700.824353816274,0.017489343991208273
2025-09-22,polymarket,0.135,2741.06,2286.169646334159,2702.5415592818395,0.014252672853769521
2025-09-23,polymarket,0.135,2758.65,2285.6457917405232,2701.8588015213613,0.021019306577627628
2025-09-24,polymarket,0.105,2723.58,2274.813898682616,2695.3803136159445,0.01046222911164052
2025-09-25,polymarket,0.105,2708.68,2269.612838922718,2691.0380449833924,0.006555817763147287
2025-09-26,polymarket,0.105,2725.97,2269.5951269685297,2690.61929769118,0.013138500247565466
2025-09-29,polymarket,0.125,2684.09,2255.4564757302714,2678.250406604439,0.002180376181839083
2025-09-30,polymarket,0.115,2684.6,2252.538748859665,2676.5829210362785,0.002995266427470611
2025-10-01,polymarket,0.115,2647.25,2250.1364662888795,2674.7204015036414,-0.010270382462480354
2025-10-02,polymarket,0.105,2632.07,2240.465327194415,2668.105094307625,-0.013505875156306857
2025-10-03,polymarket,0.095,2604.55,2243.200076568593,2671.0103845024537,-0.024882113857761512
2025-10-06,polymarket,0.095,2648.5,2241.4273071602606,2669.678408885371,-0.007932943838809936
2025-10-07,polymarket,0.095,2668.6,2241.7639625010283,2669.8541928425393,-0.00046976080038441115
2025-10-08,polymarket,0.085,2562.51,2225.2589991661844,2657.833370093491,-0.03586506632285136
2025-10-09,polymarket,0.105,2638.37,2233.612024962884,2662.902343097673,-0.009212633411533777
2025-10-10,polymarket,0.115,2588.56,2225.707384859639,2656.2846041277985,-0.025495989406615682
2025-10-13,polymarket,0.105,2576.38,2218.5057856270623,2651.5592433205125,-0.028352843146874696
2025-10-14,polymarket,0.115,2541.49,2198.3450400603906,2635.693181697013,-0.03574133072513386
2025-10-15,polymarket,0.115,2545.22,2194.897837066857,2633.4796009461597,-0.03351444260834602
2025-10-16,polymarket,0.12,2607.78,2221.6658097574536,2654.24227083589,-0.01750490953535211
2025-10-17,polymarket,0.18,2721.14,2234.776073752121,2660.765476877874,0.022690659378582057
2025-10-20,polymarket,0.165,2744.83,2222.213216640663,2652.564075468054,0.034783674175963286
2025-10-21,polymarket,0.155,2632.42,2196.3019148912654,2633.5979328392,-0.00044727132585875573
2025-10-22,polymarket,0.155,2653.0,2205.779124806607,2641.1856605718576,0.004473119631273725
2025-10-23,polymarket,0.135,2570.67,2199.332657075788,2637.7078678578923,-0.02541519804933301
2025-10-24,polymarket,0.125,2543.93,2192.4854045228217,2633.357586916984,-0.03395953035823063
2025-10-27,polymarket,0.125,2476.79,2181.054665809961,2625.131338580398,-0.056508158811062414
2025-10-28,polymarket,0.125,2495.09,2185.915392302661,2629.6950158287354,-0.051186550158294764
2025-10-29,polymarket,0.135,2523.35,2204.511968695411,2643.8474157547175,-0.04557653934061101
2025-10-30,polymarket,0.125,2557.48,2208.426901749211,2647.9741534709506,-0.034174862829507324
2025-10-31,polymarket,0.08,2525.2,2201.5967338637524,2645.9367441689215,-0.04563100173690837
2025-11-01,polymarket,0.075,2532.66,2204.5302192964914,2648.819236650034,-0.04385321393125363
2025-11-03,polymarket,0.075,2570.96,2215.883469840006,2657.8232185274214,-0.03268209033689917
2025-11-05,polymarket,0.065,2546.62,2211.0747001953773,2654.944152389618,-0.04080091563964516
2025-11-06,polymarket,0.055,2542.7,2201.987895750027,2648.7989360447673,-0.040055488773034664
2025-11-07,polymarket,0.055,2566.42,2208.5696984140814,2654.0841902812504,-0.03302992067932875
2025-11-10,polymarket,0.065,2558.6,2216.995238491596,2660.082020424955,-0.03814995915379438
2025-11-11,polymarket,0.065,2566.17,2224.745329108453,2666.1829611503904,-0.037511664656065924
2025-11-12,polymarket,0.055,2536.22,2227.119544778325,2668.9068323367146,-0.04971579776748636
2025-11-13,polymarket,0.055,2543.36,2230.2616706349777,2671.573299259902,-0.04799168313870339
2025-11-14,polymarket,0.045,2525.68,2224.0897752643546,2667.775966352178,-0.05326383030074111
2025-11-17,polymarket,0.045,2510.64,2214.838947049995,2660.8798943505876,-0.05646248621351446
2025-11-18,polymarket,0.045,2563.07,2217.9554572736693,2663.5339773656847,-0.03771830140685739
2025-11-19,polymarket,0.045,2646.02,2223.383188679226,2668.013397027046,-0.008243360791048815
2025-11-20,polymarket,0.065,2628.31,2222.2880338557397,2666.1085638166155,-0.014177428604972397
2025-11-21,polymarket,0.105,2685.03,2228.721188704789,2668.861022997946,0.006058381033228866
2025-11-24,polymarket,0.135,2654.84,2220.384473667303,2660.86887276111,-0.0022657534246901534
2025-11-25,polymarket,0.125,2685.95,2218.076314071052,2660.3184761977104,0.009634757654626291
2025-11-26,polymarket,0.165,2668.38,2205.2448996533662,2648.296518536636,0.007583547130312063
2025-11-27,polymarket,0.115,2621.37,2197.469468331253,2646.084334126558,-0.009339964644292431
2025-11-28,polymarket,0.085,2676.42,2200.317589000542,2650.776717853753,0.009673874820739226
2025-12-01,polymarket,0.095,2686.93,2187.671760591887,2640.814480296086,0.01746261240537561
2025-12-02,polymarket,0.085,2667.2,2192.7079477946163,2645.9481562229107,0.008031844360633977
2025-12-03,polymarket,0.055,2651.71,2200.009058060245,2654.2107243054843,-0.0009421724818546862
2025-12-04,polymarket,0.045,2657.13,2203.3553334209096,2658.057136422802,-0.00034880229250822126
2025-12-05,polymarket,0.055,2711.3,2210.566339245119,2663.6356986741744,0.017894452063978106
2025-12-08,polymarket,0.055,2705.17,2204.864809942984,2660.014269438158,0.016975747491527526
2025-12-09,polymarket,0.045,2702.72,2200.2207850759337,2658.0163682496245,0.016818418533597557
2025-12-10,polymarket,0.033,2720.66,2192.668528194105,2653.9981151310867,0.02511753286065188
2025-12-11,polymarket,0.029,2748.93,2197.463472166202,2659.0306185590302,0.033809080953602244
2025-12-12,polymarket,0.0245,2739.49,2205.802686307239,2666.5878375627653,0.027339119083309882
2025-12-15,polymarket,0.0305,2748.93,2196.102263565828,2659.4230601030563,0.03365652544709263
2025-12-16,polymarket,0.0415,2774.23,2195.7819664044746,2659.3338016183525,0.04320488022666691
2025-12-17,polymarket,0.0365,2759.73,2185.168466626735,2652.2042366990618,0.040542037378978435
2025-12-18,polymarket,0.0255,2753.07,2190.321651736639,2657.69379162449,0.03588683116018876
2025-12-19,polymarket,0.0315,2743.09,2174.6896337846806,2645.943537560074,0.036715243942623266
2025-12-22,polymarket,0.0165,2715.98,2159.6685512879053,2635.890845161424,0.030384093857904526
2025-12-23,polymarket,0.0145,2725.38,2156.779643637165,2634.6762086356125,0.03442692163351602
2025-12-24,polymarket,0.01,2720.02,2153.5682685638226,2633.451200861821,0.032872756142148685
2025-12-25,polymarket,0.0085,2714.12,2142.388004104368,2625.5481104389232,0.03373462828920304
2025-12-26,polymarket,0.0075,2754.89,2138.6085197456136,2623.382175763652,0.05012911403122833
2025-12-29,polymarket,0.0065,2742.03,2142.3873552806504,2627.077633958027,0.043756744968660444
2025-12-30,polymarket,0.0015,2766.62,2151.377242549427,2635.0385274795417,0.049935312576365964
2026-01-05,polymarket,0.435,2757.09,2157.998234991978,2612.4365544345305,0.05537108463741447
2026-01-06,polymarket,0.455,2745.26,2165.437391175543,2617.4668894181636,0.048823200437979164
2026-01-08,polymarket,0.445,2718.62,2142.6200995089066,2601.035434731351,0.04520682944128884
2026-01-09,polymarket,0.455,2724.85,2147.547246781007,2604.790888678221,0.04609165052120634
2026-01-12,polymarket,0.445,2701.93,2124.1716454428324,2587.64627212186,0.04416512763331748
2026-01-13,polymarket,0.445,2696.92,2116.0278187783865,2581.3271353295486,0.044780401169762785
2026-01-14,polymarket,0.425,2702.69,2117.207711125245,2583.441325387032,0.04615884767388834
2026-01-15,polymarket,0.405,2701.32,2110.915772705712,2579.78734131714,0.04710956470575223
2026-01-16,polymarket,0.415,2733.75,2128.6046095137,2592.9350697501977,0.05430715635442751
2026-01-19,polymarket,0.415,2750.25,2119.842461113385,2585.887811303401,0.0635612217893371
2026-01-20,polymarket,0.415,2738.07,2112.521030808868,2580.0044583029708,0.06126560796759195
2026-01-21,polymarket,0.405,2770.53,2110.769943575033,2579.1203306661273,0.07421509848066532
2026-01-22,polymarket,0.415,2768.02,2112.686525426984,2580.093066008383,0.07283726950297775
2026-01-23,polymarket,0.445,2777.29,2108.0812022220234,2574.7204246386195,0.0786763383794622
2026-01-26,polymarket,0.425,2768.15,2094.1407828356964,2565.3959326117624,0.07903422033643714
2026-01-27,polymarket,0.435,2781.39,2096.0589841414894,2566.5677728863384,0.08370019657500594
2026-01-28,polymarket,0.435,2788.01,2092.3788239622013,2563.8106851577654,0.08744768720255114
2026-01-29,polymarket,0.45,2797.76,2109.1488741134776,2575.755225542617,0.08619016755002984
2026-01-30,polymarket,0.465,2782.74,2107.406712202055,2573.2727983234217,0.08140108651249611
2026-02-02,polymarket,0.445,2768.56,2110.230388335679,2576.851179364085,0.07439654341358781
2026-02-03,polymarket,0.455,2786.15,2115.389983225819,2580.343128267404,0.0797594976722289
2026-02-04,polymarket,0.455,2776.31,2105.804469453224,2572.859980654776,0.0790754339042763
2026-02-05,polymarket,0.445,2737.13,2097.7604559235565,2567.232151740577,0.06617938628738051
2026-02-06,polymarket,0.425,2735.43,2088.4210772020065,2561.1520432756947,0.06804670467802643
2026-02-09,polymarket,0.445,2725.64,2087.32421353975,2558.8973609112522,0.06516190982719561
2026-02-10,polymarket,0.435,2717.04,2086.538508222534,2558.7229812685446,0.06187345011180789
2026-02-12,polymarket,0.435,2765.66,2103.837439892377,2572.1088318150364,0.07524999167643376
2026-02-13,polymarket,0.435,2776.34,2116.639314878384,2582.1008231055575,0.07522524881922554
2026-02-17,polymarket,0.415,2765.33,2131.91359016911,2595.2938630998306,0.06551710359961982
2026-02-24,polymarket,0.395,2777.35,2138.9277126394168,2601.120670272539,0.06775130878837543
2026-02-25,polymarket,0.385,2795.39,2137.5643979531387,2600.249923128233,0.0750466619135608
2026-02-26,polymarket,0.365,2785.58,2131.61392731714,2596.391659137382,0.07286587144771284
2026-02-27,polymarket,0.365,2799.14,2138.804242634997,2601.217208320269,0.07608852926493559
2026-03-05,polymarket,0.395,2825.0,2156.590530816008,2607.9344152793265,0.08323276208517094
2026-03-06,polymarket,0.37,2854.11,2166.387062213589,2615.3464068069106,0.09129329582179402
2026-03-09,polymarket,0.385,2888.68,2178.86470557924,2621.7581137301245,0.1018102642162173
2026-03-10,polymarket,0.395,2853.86,2178.6486905518827,2618.997372854333,0.08967654171019657
2026-03-11,polymarket,0.41,2854.05,2193.4530646415783,2627.2025045044893,0.08634564526585509
2026-03-17,polymarket,0.365,2853.53,2258.8007374581416,2668.4798620213905,0.06934664960837789
2026-03-18,polymarket,0.365,2871.72,2277.3938464311545,2679.1066647162033,0.07189461241708339
2026-03-19,polymarket,0.355,2868.99,2291.225396368902,2686.488327096848,0.06793317174036351
2026-03-20,polymarket,0.355,2864.89,2313.648554358636,2699.4207472130265,0.0612980592068908
2026-03-23,polymarket,0.335,2833.43,2325.807053174703,2706.5670856619327,0.0468722593318025
2026-03-24,polymarket,0.345,2837.9,2339.2087725953743,2713.1304036201996,0.045987320113075825
2026-03-25,polymarket,0.335,2840.14,2356.4160601751623,2723.783574732809,0.042718674988193595
2026-03-26,polymarket,0.335,2822.84,2362.998492897414,2725.8717373166783,0.03557330352556365
2026-03-27,polymarket,0.325,2789.61,2376.3563593128656,2733.2973293584005,0.02060246795573395
2026-04-09,polymarket,0.285,2733.4,2472.3293626484874,2784.139386706257,-0.018224441976047556
2026-04-22,polymarket,0.255,2761.64,2573.3254910668056,2844.636709982592,-0.029176558711815237
2026-04-23,polymarket,0.255,2771.46,2576.4897211332363,2845.0869065174084,-0.025878614234506103
2026-04-24,polymarket,0.255,2733.0,2566.2662136428157,2836.0285197381813,-0.03632844980969829
2026-04-27,polymarket,0.285,2732.41,2575.553073722002,2838.6173989648564,-0.037415186352196206
2026-04-28,polymarket,0.285,2696.58,2585.4474971737445,2843.8258905217667,-0.05177739291724048
2026-04-29,polymarket,0.275,2639.82,2588.1677014509924,2844.546959727548,-0.07197172788005457
2026-04-30,polymarket,0.315,2658.21,2605.931889104903,2852.2012565140026,-0.06801457508335196
2026-05-04,polymarket,0.285,2620.82,2613.7792369273207,2857.4462158627184,-0.08281038311381694
2026-05-05,polymarket,0.295,2644.37,2617.892369313542,2857.3994924912836,-0.0745536257884436
2026-05-06,polymarket,0.315,2632.5,2631.5534277206484,2863.8078044094286,-0.08076931840652224
2026-05-07,polymarket,0.295,2615.33,2630.952372911122,2862.9864985899108,-0.08650285242766165
2026-05-08,polymarket,0.285,2597.8,2637.208627077747,2866.4650653654035,-0.09372696308481088
2026-05-11,kalshi,0.54,2656.91,2653.255519000708,2857.6389232248443,-0.07024292733188353
2026-05-12,kalshi,0.48,2689.96,2655.754805813216,2861.7878167819495,-0.06004212323999902
2026-05-13,kalshi,0.63,2694.72,2663.241237652545,2854.635224762256,-0.05601949537197848
2026-05-14,kalshi,0.59,2658.84,2652.321653887516,2848.2175755474536,-0.06648985568142673
2026-05-15,kalshi,0.51,2633.84,2684.647645392063,2874.341319099879,-0.08367180247584294
2026-05-18,kalshi,0.57,2668.22,2693.163894584287,2874.036320896489,-0.07161228944813391
