date,S1_long_thr2,S1_long_thr3,S1_long_thr5,S1_long_thr7,S1_long_thr10,S2_ls_thr3,S2_ls_thr5,S2_ls_thr7,S2_ls_thr10,S3_prop_sc5,S3_prop_sc10,S3_prop_sc15,S4_long_thr3_rate_filter,BH_buy_hold,RF_ofz
2023-04-10,1.8471823859153775,1.8471823859153775,1.814531347347806,1.8144645939408797,1.793600054664101,1.065942388925696,1.120306344334145,1.274587317630721,1.2115885882869901,1.0487598960333018,1.1470380015095876,1.200502496611369,2.171001814966052,1.984124072833131,2.056397053838242
2023-04-11,1.8372769895656007,1.8372769895656007,1.8152026830816277,1.815135904977444,1.7942636462910193,1.0602263416480449,1.1207208324513538,1.2750588862335186,1.2120368487787123,1.0453017229383792,1.145359073328621,1.199479093196518,2.15935995782336,1.9734843355238094,2.057157874436456
2023-04-12,1.8407431531491973,1.8407431531491973,1.815874923614645,1.8158081207799182,1.7949281322799384,1.0622265397437383,1.1211358791989112,1.2755310903974386,1.212485713417826,1.0467759633291887,1.1463788370490824,1.2003391306416609,2.1634337555643604,1.9772074646847577,2.0579197204379525
2023-04-13,1.8449562097225656,1.8449562097225656,1.8165460997186487,1.8164792721925371,1.7955915661184279,1.0646577428684203,1.1215502687593781,1.2760025468709297,1.2129338673224308,1.048534195942489,1.1475534629487825,1.2013069626124586,2.168385380015242,1.981732858079133,2.05868036012869
2023-04-14,1.8526209271030294,1.8526209271030294,1.8172168668748265,1.817150014672375,1.7962545957264564,1.0690807750591063,1.1219644058321465,1.2764737160858333,1.2133817481667108,1.0517386191199571,1.149518850255444,1.2028264582243091,2.177393757028291,1.9899658026881757,2.059440536361408
2023-04-17,1.8825401550233658,1.8825401550233658,1.8178891961903931,1.8178223192541323,1.7969191694737852,1.0863460833077074,1.1223795073947687,1.276945982613576,1.2138306720872052,1.0633299652896777,1.1560659956156654,1.2075419722303216,2.212557960960024,2.0221031058640624,2.060202482979614
2023-04-18,1.8822933397234773,1.8822933397234773,1.8185598017199036,1.8184929001132484,1.7975820393195698,1.0862036550925012,1.122793544677924,1.2774170382965193,1.2142784450110429,1.0662175061106358,1.1578489133361634,1.2089319935400713,2.212267877821453,2.037299392460319,2.0609624760418384
2023-04-19,1.8829877034528093,1.8829877034528093,1.8192306546307049,1.8191637283445548,1.7982451536930104,1.086604347378261,1.1232077346962912,1.2778882677483294,1.2147263831149142,1.0654014065925235,1.1576193563615063,1.2089208589610905,2.2130839666538935,2.030234793822285,2.061722749459736
2023-04-20,1.8836823233276518,1.8836823233276518,1.8199017550140544,1.819834804039305,1.7989085126843114,1.0870051874763642,1.1236220775062131,1.2783596710331084,1.215174486459753,1.0704691891673495,1.1605860921756153,1.211134986747624,2.2139003565353113,2.054614279750672,2.0624833033367285
2023-04-21,1.884377880811911,1.884377880811911,1.820573761259821,1.8205067855631476,1.7995727670885704,1.0874065686350736,1.1240369796029253,1.2788317106258522,1.2156231946619114,1.0708261395889969,1.1609938678370444,1.2115677497332489,2.2147178483933185,2.0562499641100844,2.063244883821946
